Start Time,Average of Latency(ms)
1717638235748,26.66666667
1717638235755,33.5
1717638235756,21
1717638235762,25.71428571
1717638235765,26
1717638235766,24
1717638235769,33
1717638235770,32
1717638235777,25.8
1717638235778,28.14285714
1717638235785,39.14285714
1717638235792,44
1717638235794,42
1717638235795,42
1717638235802,32.23076923
1717638235806,37.16666667
1717638235811,34
1717638235818,24
1717638235825,51.75
1717638235826,50
1717638235836,39
1717638235837,40.41666667
1717638235842,34
1717638235843,34.5
1717638235844,34.5
1717638235845,34
1717638235875,29.25
1717638235876,28.81818182
1717638235877,28
1717638235878,27.5
1717638235879,26.5
1717638235904,27.25
1717638235905,29.18181818
1717638235906,30.5
1717638235926,93
1717638235932,98
1717638235933,91.66666667
1717638235934,96.75
1717638235935,96
1717638235936,95.16666667
1717638235937,94.33333333
1717638236019,81.75
1717638236030,70.66666667
1717638236031,71.2
1717638236032,71
1717638236100,19
1717638236101,19.91666667
1717638236102,20.5
1717638236103,28.72727273
1717638236119,21.6
1717638236121,25.85714286
1717638236122,30.5
1717638236125,28
1717638236131,22.33333333
1717638236132,21.625
1717638236140,17
1717638236141,22.6
1717638236145,39
1717638236150,40.33333333
1717638236151,33.66666667
1717638236153,38.5
1717638236154,38
1717638236157,35
1717638236162,46
1717638236164,44.75
1717638236173,19
1717638236184,25
1717638236190,21.66666667
1717638236191,33
1717638236192,32.73333333
1717638236209,27
1717638236211,25
1717638236212,24
1717638236224,31.58823529
1717638236226,31
1717638236236,35.66666667
1717638236245,28
1717638236257,29.04761905
1717638236261,24
1717638236273,22
1717638236275,20
1717638236285,20.5
1717638236288,32.35714286
1717638236295,28.5
1717638236302,33
1717638236303,32
1717638236304,31
